번호,출처,제목,날짜,URL,분류,담당부서
1,교육부(사업공고),2026년도 학술대회 지원사업 신규 과제 공모,2026-02-06,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학술연구정책과
2,교육부(사업공고),2026년 1차 태국 중등학교 교장단 방한 연수 운영 기관 모집 재공고,2026-02-06,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,재외교육지원담당관
3,교육부(사업공고),고등교육 프로그램 평가·인증 인정기관 정부지정 공고(한국수의학교육인증원),2026-02-03,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,대학정책과
4,교육부(사업공고),고교 취업연계 장려금 지원， 현장실습 기업현장교육 지원 사업시행기관 모집 재공고,2026-02-02,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,직업교육정책과
5,교육부(사업공고),「중앙취업지원센터 운영 지원」ㆍ「고졸자 후속관리 지원 모델 개발」사업시행기관 모집 재공고,2026-02-02,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,직업교육정책과
6,교육부(사업공고),제2차 재외교육지원센터 수행기관(보조사업자) 재공모,2026-02-02,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,재외교육지원담당관
7,교육부(사업공고),첨단분야 글로벌 교육과정 프로그램 참여 모집 공고,2026-01-29,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,인공지능융합인재양성과
8,교육부(사업공고),중앙학생맞춤지원센터 공모 재공고,2026-01-27,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생지원총괄과
9,교육부(사업공고),"「중앙취업지원센터 운영 지원」, 「고졸자 후속관리 지원 모델 개발」 사업 시행기관 모집 공고",2026-01-16,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,직업교육정책과
10,교육부(사업공고),2026년 1차 태국 중등학교 교장단 방한 연수 운영 기관 공모,2026-01-16,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,재외교육지원담당관
11,교육부(사업공고),중앙학생맞춤지원센터 공모,2026-01-15,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생지원총괄과
12,교육부(사업공고),제2차 재외교육지원센터 수행기관[보조사업자] 모집 공고,2026-01-15,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,재외교육지원담당관
13,교육부(사업공고),해외 현지학교 한국어교원 파견 사업 보조사업자 공모 공고,2026-01-15,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,재외교육지원담당관
14,교육부(사업공고),2026년 광역단위 성인문해교육 지원사업(찾아가는 AI·디지털 문해교육 프로그램) 공고,2026-01-14,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,평생학습정책과
15,교육부(사업공고),"2026년 ""위기학생 지원 비대면 상담서비스 운영"" 사업 위탁기관 공모",2026-01-13,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생정서지원과
16,교육부(사업공고),"「고교 취업연계 장려금 지원, 현장실습 기업현장교육 지원」 사업 시행기관 모집 공고(수정)",2026-01-12,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,직업교육정책과
17,교육부(사업공고),농어촌 교육사업 지원센터 재공모,2026-01-09,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생지원총괄과
18,교육부(사업공고),2025년 하반기 교육기부 진로체험 인증기관 선정 결과 공고,2025-12-24,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,기초학력진로교육과
19,교육부(사업공고),2026년 검정고시지원센터(평생교육 검정고시 지원사업 보조사업자) 선정 재공고,2025-12-19,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생맞춤통합지원과
20,교육부(사업공고),2026년도 한-EU 교육협력사업 및 교육협력진흥사업 신규과제 공모,2025-12-19,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,글로벌교육정책담당관
21,교육부(사업공고),농어촌 교육사업 지원센터 공모,2025-12-15,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생맞춤통합지원과
22,교육부(사업공고),2026년 협약형 특성화고등학교 공모 계획 공고,2025-12-10,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,중등직업교육정책과
23,교육부(사업공고),「2026년 첨단산업 특성화대학 재정지원 사업」 및 특성화대학 지정 신청 통합 공고,2025-12-09,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,인재양성지원과
24,교육부(사업공고),제5차 교육부 학생정신건강증진 정책지원기관 모집 재공고,2025-12-08,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,사회정서성장지원과
25,교육부(사업공고),2026년 검정고시지원센터(평생교육 검정고시 지원사업 보조사업자) 선정 공고,2025-12-04,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생맞춤통합지원과
26,교육부(사업공고),교육시설안전인증 전문기관 지정 공고,2025-12-03,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,교육안전정책과
27,교육부(사업공고),고등교육 평가·인증 인정기관 재지정 신청사실 공고(한국한의학교육평가원),2025-12-01,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,
28,교육부(사업공고),고등교육 기관 평가·인증 인정기관 정부지정 공고(한국고등직업교육평가원),2025-11-19,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,
29,교육부(사업공고),학생정신건강증진 정책지원기관 모집 공고,2025-11-12,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,사회정서성장지원과
30,교육부(사업공고),2026년 보육교직원 온라인 보수교육 위탁기관 선정 공고,2025-11-10,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,영유아교원지원과
31,교육부(사업공고),학교복합시설 전문기관 지정 공고,2025-08-29,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,교육시설담당관
32,교육부(사업공고),2025년 하반기 교육기부 진로체험기관 인증 추진 공고,2025-08-29,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,기초학력진로교육과
33,교육부(사업공고),전담기관 지정 공고,2025-08-12,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,지역인재정책과
34,교육부(사업공고),고등교육 프로그램 평가·인증 인정기관 정부지정 공고(한국약학교육평가원),2025-08-06,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,
35,교육부(사업공고),학교복합시설 전문기관 지정 신청 공고,2025-07-31,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,교육시설담당관
36,교육부(사업공고),2025년 상반기 교육기부 진로체험 인증기관 선정 결과 공고,2025-07-30,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,기초학력진로교육과
37,교육부(사업공고),2025년도 인문학대중화사업(인문사회통합성과확산센터) 신규과제 공모,2025-06-30,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학술연구정책과
38,교육부(사업공고),2025년 평생교육기관 평가·인증 신청 공고,2025-06-19,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,평생학습지원과
39,교육부(사업공고),평생교육기관 평가·인증 업무 위탁 공고,2025-06-19,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,평생학습지원과
40,교육부(사업공고),2025년 농어촌 참 좋은 학교 공모전 공고,2025-06-17,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학생맞춤통합지원과
41,교육부(사업공고),2025년도 글로벌인문사회융합연구(컨소시엄형) 신규과제 공모,2025-06-16,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학술연구정책과
42,교육부(사업공고),2025년도 4단계 BK21 사업 우수 대학원생 국제 공동연수 지원 계획 추가 공고,2025-06-16,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,인재양성지원과
43,교육부(사업공고),2025년도 신규 병역지정업체(대학연구기관) 신청 및 2026년도 필요인원 신청 공고,2025-06-10,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,학술연구정책과
44,교육부(사업공고),2025년 러시아·CIS지역 국제 한국어 경시대회 및 국가협의회 운영기관(간접보조사업자) 공모 안내,2025-06-05,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=72761,교육부,재외교육지원담당관
